City,Country,latitude,longitude,n_incidents,n_kill
Berberana,Spain,42.919882,-3.060073,1,0
Wiesloch,West Germany (FRG),49.294642,8.69774,1,0
El Monte,United States,34.06857,-118.027606,4,8
Mount Gilead,United States,35.214905,-80.001234,1,0
Claremont,United States,34.0961,-117.716404,4,0
Oxnard,United States,34.20034,-119.180439,1,0
Pomona,United States,34.05483,-117.750034,4,0
Malatya,Turkey,38.355879,38.296474,10,12
Rolling Hills Estates,United States,33.78359,-118.353879,1,0
Bahar Dar,Ethiopia,11.583513,37.397019,1,0
Banfield,Argentina,-34.68631,-58.528473,1,0
West Palm Beach,United States,26.714388,-80.052689,4,0
Nutt's Corner,United Kingdom,54.63797,-6.14485,2,1
Trillick,United Kingdom,54.452223,-7.486124,2,6
Gothenburg,Sweden,57.696994,11.9865,17,0
Santa Cruz,United States,36.974025,-122.030954,63,86
Atlanta,United States,33.764496,-84.432083,14,87
Bristol,United States,40.097625,-74.857269,17,1
Honolulu,United States,21.3,-157.818968,3,1
Tarlas,Philippines,0,0,1,0
Vernon,United States,34.097866,-118.407379,3,0
Texarkana,United States,33.42558,-94.048254,5,1
Fort Lupton,United States,40.079609,-104.812912,1,0
Heidelberg,West Germany (FRG),49.4019,8.680285,10,3
Rotterdam,Netherlands,51.924216,4.481776,11,1
San Andres,Spain,28.505025,-16.192648,15,13
Jacksonville,United States,30.33138,-81.655799,5,0
Medford,United States,42.407484,-71.119023,3,0
Mill Valley,United States,37.906032,-122.548169,3,0
Thousand Oaks,United States,34.225529,-118.878911,2,0
Milan,Italy,45.469212,9.174508,204,49
Bandar Anzali,Iran,37.474249,49.458725,2,3
Isfahan,Iran,32.65246,51.67462,12,5
Madrid,Spain,40.465595,-3.696263,415,387
Riverside,United States,33.953349,-117.396156,5,4
Barcelona,Spain,41.400635,2.150913,223,90
Sylvester,United States,31.530345,-83.835349,1,0
Ben Lomond,United States,37.089185,-122.086756,2,0
Stockholm,Sweden,59.332788,18.064488,37,15
La Plata,Argentina,-34.921295,-57.954333,26,20
Richfield,United States,44.883175,-93.283006,1,0
Los Gatos,United States,37.235807,-121.962416,2,0
Youngstown,United States,41.0981,-80.650789,2,1
Pilar,Argentina,-34.458721,-58.90725,3,3
Montebello,United States,34.097866,-118.407379,4,7
Braintree,United States,42.206391,-71.004817,3,0
La Paz,Bolivia,-16.509317,-68.10434,182,47
Chico,United States,39.728352,-121.841985,9,0
San Bruno,United States,37.625511,-122.432556,9,0
Tempe,United States,33.42551,-111.937419,3,0
Cupertino,United States,37.32236,-122.032133,3,0
East Los Angeles,United States,34.022442,-118.166974,2,0
Burlingame,United States,37.577883,-122.34811,2,0
Hawthorne,United States,38.525255,-118.624627,1,1
Greensboro,United States,36.068994,-79.794704,5,5
Altadena,United States,34.186531,-118.145775,1,0
Kalamaki,Greece,37.742578,20.896502,2,0
Ahvaz,Iran,31.285506,48.643416,33,59
Bedford Park,United States,41.77033,-87.81852,1,0
Miramar,Spain,38.951603,-0.138765,3,8
Menlo Park,United States,37.454697,-122.177909,2,0
Aden,South Yemen,12.825647,44.846416,285,734
Pasadena,United States,34.13149,-118.101567,1,0
Glen Cove,United States,40.863958,-73.630786,2,0
